StationCode,SampleDate,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,SampleTypeCode,Replicate,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments,LabBatch,AnalysisDate,MatrixName,MethodName,AnalyteName,FractionName,UnitName,LabReplicate,Result,ResQualCode,MDL,RL,QACode,ComplianceCode,DilutionFactor,ExpectedValue,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,SampleID,LabSampleID,LabResultComments,WeatherCondition,SampleStart,SampleEnd,"Above applicable WQBEL, receiving water limitation, action level, or aquatic toxicity threshold?","Applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results","Source of applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results"
BC_02_ING (SBS FBlank),4-Jan-19,BC CIMP (RW),WQ,,,,,,12:00:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25704,NA,,Wet,01/04/2019 12:00,01/04/2019 12:00,,,
CC_CEN,5-Jan-19,BC CIMP (RW),WQ,,,,,,22:11:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25707,NA,,Wet,01/05/2019 22:11,01/06/2019 02:00,,,
CC_CEN (SBS Fblank),4-Jan-19,BC CIMP (RW),WQ,,,,,,13:15:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25708,NA,,Wet,01/04/2019 13:15,01/04/2019 13:15,,,
BC_RW_FDUP (Comp),5-Jan-19,BC CIMP (RW),WQ,,,,,,21:45:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25713,NA,,Wet,01/05/2019 21:45,01/06/2019 09:55,,,
BC_RW_FBLANK (Comp),3-Jan-19,BC CIMP (RW),WQ,,,,,,11:55:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,1530,24/Jan/2019 16:00,Blank Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,None,Com,1,,,,,,WPD-25715,3676902,,Wet,01/03/2019 11:55,01/03/2019 11:55,,,
BC_SW_FAI,5-Jan-19,BC CIMP (SWO),WQ,,,,,,18:11:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1530,30/Jan/2019 15:34,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,None,Com,1,,,,,,WPD-25717,3676928,,Wet,01/05/2019 18:11,01/06/2019 01:59,,,
CC_SW_LAC,5-Jan-19,BC CIMP (SWO),WQ,,,,,,20:50:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1530,24/Jan/2019 17:16,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,None,Com,1,,,,,,WPD-25719,3676930,,Wet,01/05/2019 20:50,01/05/2019 22:50,,,
SC_SW_WAS,5-Jan-19,BC CIMP (SWO),WQ,,,,,,19:55:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1530,24/Jan/2019 16:40,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,None,Com,1,,,,,,WPD-25721,3676931,,Wet,01/05/2019 19:55,01/05/2019 22:55,,,
BC_SW_FDUP (Comp),5-Jan-19,BC CIMP (SWO),WQ,,,,,,18:11:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,1530,30/Jan/2019 16:06,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,None,Com,1,,,,,,WPD-25722,3676929,,Wet,01/05/2019 18:11,01/06/2019 01:59,,,
BC_02_ING,31-Jan-19,BC CIMP (RW),WQ,,,,,,10:51:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25969,NA,,Wet,01/31/2019 10:51,01/31/2019 18:03,,,
BC_02_ING (SBS FBlank),30-Jan-19,BC CIMP (RW),WQ,,,,,,10:45:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25970,NA,,Wet,01/30/2019 10:45,01/30/2019 10:45,,,
CC_CEN,31-Jan-19,BC CIMP (RW),WQ,,,,,,11:45:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25973,NA,,Wet,01/31/2019 11:45,01/31/2019 21:44,,,
CC_CEN (SBS Fblank),30-Jan-19,BC CIMP (RW),WQ,,,,,,11:35:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25975,NA,,Wet,01/30/2019 11:35,01/30/2019 11:35,,,
BC_RW_FDUP (Comp),31-Jan-19,BC CIMP (RW),WQ,,,,,,10:51:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylnapthalene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25979,NA,,Wet,01/31/2019 10:51,01/31/2019 18:03,,,
BC-RW-FBLANK,30-Jan-19,BC CIMP (RW),WQ,,,,,,10:00:00,Water_Grab,Equipment Blank,,Autosampler,,,,,1542,22/Feb/2019 01:37,Blank Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,None,Com,1,,,,,,WPD-25981,3823413,,Wet,01/30/2019 10:00,01/30/2019 10:00,,,
BC_SW_FAI,31-Jan-19,BC CIMP (SWO),WQ,,,,,,11:57:00,Autosampler (Time Paced),Composite,,Autosampler,,,,,1542,22/Feb/2019 03:44,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,0.047DNQ,DNQ,0.032,0.05,FDP,Com,1,,,,,,WPD-25983,3823406,,Wet,01/31/2019 11:57,01/31/2019 15:12,,,
CC_SW_LAC,31-Jan-19,BC CIMP (SWO),WQ,,,3 hours composite.,,,11:30:00,Other,Composite,,Peristaltic Pump,,,,,1542,22/Feb/2019 03:13,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,FDP,Com,1,,,,,,WPD-25985,3823411,,Wet,01/31/2019 11:30,01/31/2019 14:30,,,
SC_SW_WAS,31-Jan-19,BC CIMP (SWO),WQ,,,"4,4'-DDE, 4,4'-DDT, and Heptachlor results are outdated. Refer to WPD-26228 for updated results. ",,,11:10:00,Other,Composite,,Peristaltic Pump,,,,,1542,22/Feb/2019 02:41,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,<0.032,ND,0.032,0.05,FDP,Com,1,,,,,,WPD-25987,3823412,,Wet,01/31/2019 11:10,01/31/2019 14:10,,,
BC_SW_FDUP (Comp),31-Jan-19,BC CIMP (SWO),WQ,,,,,,11:57:00,Autosampler (Time Paced),Field Duplicate,,Autosampler,,,,,1542,22/Feb/2019 04:16,Sample Water,EPA 8270C (SIM),1-Methylnapthalene,,ug/L,,0.101,,0.032,0.05,FDP,Com,1,,,,,,WPD-25988,3823407,,Wet,01/31/2019 11:57,01/31/2019 15:12,,,
BCE_PAC,26-Mar-19,BC CIMP (RW),WQ,,,,,,10:10:00,Sediment Grab,Composite,1,Van Veen Grab,,,,,,,Sediment,,1-Methylnapthalene,,none,1,Not Analyzed,NA,,,None,Com,,,,,,,WPD-26273,3964201,,Dry,03/26/2019 10:10,03/26/2019 10:10,,,
BCE_CUL,26-Mar-19,BC CIMP (RW),WQ,,,,,,11:25:00,Sediment Grab,Composite,1,Van Veen Grab,,,,,,,Sediment,,1-Methylnapthalene,,none,1,Not Analyzed,NA,,,None,Com,,,,,,,WPD-26274,3964202,,Dry,03/26/2019 11:25,03/26/2019 11:25,,,
BC_02_ING,22-Nov-18,BC CIMP (RW),WQ,,,,,,00:08:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25478,NA,,Wet,11/22/2018 00:08,11/22/2018 02:54,,,
BC_02_ING (SBS FBLANK),1-Oct-18,BC CIMP (RW),WQ,,,,,,11:40:00,Water_Grab,Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Com,,,,,,,WPD-25479,NA,,Wet,10/01/2018 11:40,10/01/2018 11:40,,,
CC_CEN,22-Nov-18,BC CIMP (RW),WQ,,,,,,01:23:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25482,NA,,Wet,11/22/2018 01:23,11/22/2018 03:16,,,
CC_CEN (SBS Fblank),29-Sep-18,BC CIMP (RW),WQ,,,,,,12:40:00,Water_Grab,Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Com,,,,,,,WPD-25483,NA,,Wet,09/29/2018 12:40,09/29/2018 12:40,,,
BC_RW_FDUP (Comp),22-Nov-18,BC CIMP (RW),WQ,,,,,,00:08:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25488,NA,,Wet,11/22/2018 00:08,11/22/2018 02:54,,,
BC_RW_FBLANK (Comp),30-Sep-18,BC CIMP (RW),WQ,,,,,,12:30:00,Water_Grab,Equipment Blank,,Autosampler,,,,,1466,09/Oct/2018 17:12,Blank Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.025,ND,0.025,0.05,None,Com,1,,,,,,WPD-25490,3281912,,Wet,09/30/2018 12:30,09/30/2018 12:30,,,
BC_SW_FAI,22-Nov-18,BC CIMP (SWO),WQ,,,,,,01:28:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1501,06/Dec/2018 00:00,Sample Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,Analyst Error,AE,,,None,Qual,20,,,,,,WPD-25492,3281908,,Wet,11/22/2018 01:28,11/22/2018 05:22,,,
CC_SW_LAC,22-Nov-18,BC CIMP (SWO),WQ,,,,,,00:50:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1501,06/Dec/2018 00:00,Sample Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.027,ND,0.027,0.05,None,Qual,,,,,,,WPD-25494,3281909,,Wet,11/22/2018 00:50,11/22/2018 03:50,,,
SC_SW_WAS,21-Nov-18,BC CIMP (SWO),WQ,,,,,,00:40:00,Autosampler (Time Paced),Composite,,Autosampler,,,,,1501,06/Dec/2018 00:00,Sample Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.027,ND,0.027,0.05,None,Qual,,,,,,,WPD-25496,3281910,,Wet,11/21/2018 00:40,11/22/2018 03:40,,,
BC_SW_FDUP (Comp),22-Nov-18,BC CIMP (SWO),WQ,,,,,,01:28:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,1501,06/Dec/2018 00:00,Sample Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.027,ND,0.027,0.05,None,Qual,20,,,,,,WPD-25497,3281911,,Wet,11/22/2018 01:28,11/22/2018 05:22,,,
BC_02_ING,5-Jan-19,BC CIMP (RW),WQ,,,,,,21:45:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25703,NA,,Wet,01/05/2019 21:45,01/06/2019 09:55,,,
BC_02_ING (SBS FBlank),4-Jan-19,BC CIMP (RW),WQ,,,,,,12:00:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25704,NA,,Wet,01/04/2019 12:00,01/04/2019 12:00,,,
CC_CEN,5-Jan-19,BC CIMP (RW),WQ,,,,,,22:11:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25707,NA,,Wet,01/05/2019 22:11,01/06/2019 02:00,,,
CC_CEN (SBS Fblank),4-Jan-19,BC CIMP (RW),WQ,,,,,,13:15:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25708,NA,,Wet,01/04/2019 13:15,01/04/2019 13:15,,,
BC_RW_FDUP (Comp),5-Jan-19,BC CIMP (RW),WQ,,,,,,21:45:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25713,NA,,Wet,01/05/2019 21:45,01/06/2019 09:55,,,
BC_RW_FBLANK (Comp),3-Jan-19,BC CIMP (RW),WQ,,,,,,11:55:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,1530,24/Jan/2019 16:00,Blank Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.025,ND,0.025,0.05,None,Com,1,,,,,,WPD-25715,3676902,,Wet,01/03/2019 11:55,01/03/2019 11:55,,,
BC_SW_FAI,5-Jan-19,BC CIMP (SWO),WQ,,,,,,18:11:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1530,30/Jan/2019 15:34,Sample Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.025,ND,0.025,0.05,None,Com,1,,,,,,WPD-25717,3676928,,Wet,01/05/2019 18:11,01/06/2019 01:59,,,
CC_SW_LAC,5-Jan-19,BC CIMP (SWO),WQ,,,,,,20:50:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1530,24/Jan/2019 17:16,Sample Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.025,ND,0.025,0.05,None,Com,1,,,,,,WPD-25719,3676930,,Wet,01/05/2019 20:50,01/05/2019 22:50,,,
SC_SW_WAS,5-Jan-19,BC CIMP (SWO),WQ,,,,,,19:55:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,1530,24/Jan/2019 16:40,Sample Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.025,ND,0.025,0.05,None,Com,1,,,,,,WPD-25721,3676931,,Wet,01/05/2019 19:55,01/05/2019 22:55,,,
BC_SW_FDUP (Comp),5-Jan-19,BC CIMP (SWO),WQ,,,,,,18:11:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,1530,30/Jan/2019 16:06,Sample Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.025,ND,0.025,0.05,None,Com,1,,,,,,WPD-25722,3676929,,Wet,01/05/2019 18:11,01/06/2019 01:59,,,
BC_02_ING,31-Jan-19,BC CIMP (RW),WQ,,,,,,10:51:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25969,NA,,Wet,01/31/2019 10:51,01/31/2019 18:03,,,
BC_02_ING (SBS FBlank),30-Jan-19,BC CIMP (RW),WQ,,,,,,10:45:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25970,NA,,Wet,01/30/2019 10:45,01/30/2019 10:45,,,
CC_CEN,31-Jan-19,BC CIMP (RW),WQ,,,,,,11:45:00,Autosampler (Flow Paced),Composite,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25973,NA,,Wet,01/31/2019 11:45,01/31/2019 21:44,,,
CC_CEN (SBS Fblank),30-Jan-19,BC CIMP (RW),WQ,,,,,,11:35:00,Autosampler (Flow Paced),Equipment Blank,,Autosampler,,,,,,,Blank Water,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25975,NA,,Wet,01/30/2019 11:35,01/30/2019 11:35,,,
BC_RW_FDUP (Comp),31-Jan-19,BC CIMP (RW),WQ,,,,,,10:51:00,Autosampler (Flow Paced),Field Duplicate,,Autosampler,,,,,,,Stormborne Sediment,,1-Methylphenanthrene,,none,,Not Analyzed,NA,,,None,Qual,,,,,,,WPD-25979,NA,,Wet,01/31/2019 10:51,01/31/2019 18:03,,,
BC-RW-FBLANK,30-Jan-19,BC CIMP (RW),WQ,,,,,,10:00:00,Water_Grab,Equipment Blank,,Autosampler,,,,,1542,22/Feb/2019 01:37,Blank Water,EPA 8270C (SIM),1-Methylphenanthrene,,ug/L,,<0.025,ND,0.025,0.05,None,Com,1,,,,,,WPD-25981,3823413,,Wet,01/30/2019 10:00,01/30/2019 10:00,,,
