StationCode,SampleDate,ProjectCode,EventCode,ProtocolCode,AgencyCode,SampleComments,LocationCode,GeometryShape,CollectionTime,CollectionMethodCode,SampleTypeCode,Replicate,CollectionDeviceName,CollectionDepth,UnitCollectionDepth,PositionWaterColumn,LabCollectionComments,LabBatch,AnalysisDate,MatrixName,MethodName,AnalyteName,FractionName,UnitName,LabReplicate,Result,ResQualCode,MDL,RL,QACode,ComplianceCode,DilutionFactor,ExpectedValue,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,SampleID,LabSampleID,LabResultComments,WeatherCondition,SampleStart,SampleEnd,"Above applicable WQBEL, receiving water limitation, action level, or aquatic toxicity threshold?","Applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results","Source of applicable WQBELs, receiving water limitations, action levels, or aquatic toxicity thresholds for all test results",
BC-RW-FBLANK,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,08:45:00,Water_Grab,Field Blank,1,None,,,,,5284,02/Jul/2020 13:52,Blank Water,SM9230D,Enterococcus,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28797,6160909,,Dry,07/02/2020 08:45,07/02/2020 08:45,,,,
BC-RW-FBLANK,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,08:45:00,Water_Grab,Field Blank,1,None,,,,,5281,02/Jul/2020 08:48,Blank Water,SM9223B,Total coliform,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28797,6160909,,Dry,07/02/2020 08:45,07/02/2020 08:45,,,,
BC-RW-FDUP,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:25:00,Water_Grab,Field Duplicate,2,Fishing Pole with Bottle,,,,,5302,02/Jul/2020 08:48,Sample Water,SM9223B,E. coli,,MPN/100 mL,,<100,ND,100,100,None,COM,,,,,,,WPD-28798,6160910,,Dry,07/02/2020 10:25,07/02/2020 10:25,,,,
BC-RW-FDUP,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:25:00,Water_Grab,Field Duplicate,2,Fishing Pole with Bottle,,,,,5302,02/Jul/2020 13:52,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,20,,10,10,FDP,COM,,,,,,,WPD-28798,6160910,,Dry,07/02/2020 10:25,07/02/2020 10:25,,,,
BC-RW-FDUP,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:25:00,Water_Grab,Field Duplicate,2,Fishing Pole with Bottle,,,,,5302,02/Jul/2020 08:48,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,2700,,100,100,None,COM,,,,,,,WPD-28798,6160910,,Dry,07/02/2020 10:25,07/02/2020 10:25,,,,
CC_ING,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:55:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5281,02/Jul/2020 08:48,Sample Water,SM9223B,E. coli,,MPN/100 mL,,2300,,100,100,None,COM,,,,,,,WPD-28793,6160905,,Dry,07/02/2020 09:55,07/02/2020 09:55,Yes,400 (MPN/100 mL),TMDL Target (2012) SSM (Fecal Coliform),
CC_ING,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:55:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5284,02/Jul/2020 13:52,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,3100,,10,10,FDP,COM,,,,,,,WPD-28793,6160905,,Dry,07/02/2020 09:55,07/02/2020 09:55,Yes,104 (MPN/100 mL),TMDL Target (2012) SSM,
CC_ING,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:55:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5281,02/Jul/2020 08:48,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,>240000,>,100,100,None,COM,,,,,,,WPD-28793,6160905,,Dry,07/02/2020 09:55,07/02/2020 09:55,Yes,10000 (MPN/100 mL),TMDL Target (2012) SSM,
DRL-BCE,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:25:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5281,02/Jul/2020 08:48,Sample Water,SM9223B,E. coli,,MPN/100 mL,,<100,ND,100,100,None,COM,,,,,,,WPD-28796,6160908,,Dry,07/02/2020 10:25,07/02/2020 10:25,,,,
DRL-BCE,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:25:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5284,02/Jul/2020 13:52,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,<10,ND,10,10,FDP,COM,,,,,,,WPD-28796,6160908,,Dry,07/02/2020 10:25,07/02/2020 10:25,,,,
DRL-BCE,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:25:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5281,02/Jul/2020 08:48,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,2400,,100,100,None,COM,,,,,,,WPD-28796,6160908,,Dry,07/02/2020 10:25,07/02/2020 10:25,Yes,1000 (MPN/100 mL),BP REC1 Marine 30-Day Minimum 5 samples,
SC_CUL,2-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:40:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5282,02/Jul/2020 08:51,Sample Water,SM9223B,E. coli,,MPN/100 mL,,1500,,100,100,None,COM,,,,,,,WPD-28791,6160903,,Dry,07/02/2020 09:40,07/02/2020 09:40,Yes,235 (MPN/100 mL),TMDL Target (2012) SSM,
BC_01_WAS,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:05:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5302,10/Jul/2020 08:09,Sample Water,SM9223B,E. coli,,MPN/100 mL,,100,,100,100,None,COM,,,,,,,WPD-28819,6192401,,Dry,07/09/2020 10:05,07/09/2020 10:05,,,,
BC_02_ING,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:05:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5303,10/Jul/2020 08:09,Sample Water,SM9223B,E. coli,,MPN/100 mL,,310,,100,100,None,COM,,,,,,,WPD-28822,6192404,,Dry,07/09/2020 11:05,07/09/2020 11:05,Yes,126 (MPN/100 mL),TMDL Target (2012) Geomean,
BCC_DUQ,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:30:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5303,10/Jul/2020 08:09,Sample Water,SM9223B,E. coli,,MPN/100 mL,,750,,100,100,None,COM,,,,,,,WPD-28820,6192402,,Dry,07/09/2020 10:30,07/09/2020 10:30,,,,
BCE_MCC,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:25:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5303,10/Jul/2020 08:13,Sample Water,SM9223B,E. coli,,MPN/100 mL,,9300,,100,100,None,COM,,,,,,,WPD-28824,6192406,,Dry,07/09/2020 11:25,07/09/2020 11:25,Yes,400 (MPN/100 mL),TMDL Target (2012) SSM (Fecal Coliform),
BCE_MCC,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:25:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5304,10/Jul/2020 13:58,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,51,,10,10,None,COM,,,,,,,WPD-28824,6192406,,Dry,07/09/2020 11:25,07/09/2020 11:25,Yes,35 (MPN/100 mL),TMDL Target (2012) Geomean,
BCE_MCC,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:25:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5303,10/Jul/2020 08:13,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,52000,,100,100,None,COM,,,,,,,WPD-28824,6192406,,Dry,07/09/2020 11:25,07/09/2020 11:25,Yes,10000 (MPN/100 mL),TMDL Target (2012) SSM,
BCE_PAC,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:40:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5303,10/Jul/2020 08:13,Sample Water,SM9223B,E. coli,,MPN/100 mL,,<100,ND,100,100,None,COM,,,,,,,WPD-28826,6192407,,Dry,07/09/2020 11:40,07/09/2020 11:40,,,,
BCE_PAC,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:40:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5304,10/Jul/2020 13:58,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,<10,ND,10,10,None,COM,,,,,,,WPD-28826,6192407,,Dry,07/09/2020 11:40,07/09/2020 11:40,,,,
BCE_PAC,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:40:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5303,10/Jul/2020 08:13,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,200,,100,100,None,COM,,,,,,,WPD-28826,6192407,,Dry,07/09/2020 11:40,07/09/2020 11:40,Yes,1000 (MPN/100 mL),TMDL Target (2012) Geomean,
BC-RW-FBLANK,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:25:00,Water_Grab,Travel Blank,1,None,,,,,5331,10/Jul/2020 08:13,Blank Water,SM9223B,E. coli,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28828,6192409,,Dry,07/09/2020 09:25,07/09/2020 09:25,,,,
BC-RW-FBLANK,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:25:00,Water_Grab,Travel Blank,1,None,,,,,5331,10/Jul/2020 13:58,Blank Water,SM9230D,Enterococcus,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28828,6192409,,Dry,07/09/2020 09:25,07/09/2020 09:25,,,,
BC-RW-FBLANK,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:25:00,Water_Grab,Travel Blank,1,None,,,,,5330,10/Jul/2020 08:13,Blank Water,SM9223B,Total coliform,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28828,6192409,,Dry,07/09/2020 09:25,07/09/2020 09:25,,,,
BC-RW-FDUP,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:05:00,Water_Grab,Field Duplicate,2,Fishing Pole with Bottle,,,,,5332,10/Jul/2020 08:09,Sample Water,SM9223B,E. coli,,MPN/100 mL,,310,,100,100,None,COM,,,,,,,WPD-28829,6192410,,Dry,07/09/2020 10:05,07/09/2020 10:05,,,,
CC_ING,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:10:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5303,10/Jul/2020 08:13,Sample Water,SM9223B,E. coli,,MPN/100 mL,,10000,,100,100,None,COM,,,,,,,WPD-28823,6192405,,Dry,07/09/2020 11:10,07/09/2020 11:10,Yes,400 (MPN/100 mL),TMDL Target (2012) SSM (Fecal Coliform),
CC_ING,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:10:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5304,10/Jul/2020 13:58,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,310,,10,10,None,COM,,,,,,,WPD-28823,6192405,,Dry,07/09/2020 11:10,07/09/2020 11:10,Yes,104 (MPN/100 mL),TMDL Target (2012) SSM,
CC_ING,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:10:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5303,10/Jul/2020 08:13,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,>240000,>,100,100,None,COM,,,,,,,WPD-28823,6192405,,Dry,07/09/2020 11:10,07/09/2020 11:10,Yes,10000 (MPN/100 mL),TMDL Target (2012) SSM,
DRL-BCE,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:50:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5302,10/Jul/2020 08:13,Sample Water,SM9223B,E. coli,,MPN/100 mL,,<100,ND,100,100,None,COM,,,,,,,WPD-28827,6192408,,Dry,07/09/2020 11:50,07/09/2020 11:50,,,,
DRL-BCE,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:50:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5331,10/Jul/2020 13:58,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,<10,ND,10,10,None,COM,,,,,,,WPD-28827,6192408,,Dry,07/09/2020 11:50,07/09/2020 11:50,,,,
DRL-BCE,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:50:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5331,10/Jul/2020 08:13,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,200,,100,100,None,COM,,,,,,,WPD-28827,6192408,,Dry,07/09/2020 11:50,07/09/2020 11:50,,,,
SC_CUL,9-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:50:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5304,10/Jul/2020 08:09,Sample Water,SM9223B,E. coli,,MPN/100 mL,,100,,100,100,None,COM,,,,,,,WPD-28821,6192403,,Dry,07/09/2020 10:50,07/09/2020 10:50,Yes,126 (MPN/100 mL),TMDL Target (2012) Geomean,
BC_01_WAS,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:25:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5330,16/Jul/2020 08:28,Sample Water,SM9223B,E. coli,,MPN/100 mL,,520,,100,100,None,COM,,,,,,,WPD-28846,6224004,,Dry,07/16/2020 09:25,07/16/2020 09:25,,,,
BC_02_ING,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,10:30:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5330,16/Jul/2020 08:28,Sample Water,SM9223B,E. coli,,MPN/100 mL,,1200,,100,100,None,COM,,,,,,,WPD-28849,6224007,,Dry,07/16/2020 10:30,07/16/2020 10:30,Yes,576 (MPN/100 mL),TMDL Target (2012) SSM,
BCC_DUQ,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:45:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5330,16/Jul/2020 08:28,Sample Water,SM9223B,E. coli,,MPN/100 mL,,980,,100,100,None,COM,,,,,,,WPD-28847,6224005,,Dry,07/16/2020 09:45,07/16/2020 09:45,,,,
BCE_MCC,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:20:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5330,16/Jul/2020 08:24,Sample Water,SM9223B,E. coli,,MPN/100 mL,,850,,100,100,None,COM,,,,,,,WPD-28851,6224009,,Dry,07/16/2020 11:20,07/16/2020 11:20,Yes,400 (MPN/100 mL),TMDL Target (2012) SSM (Fecal Coliform),
BCE_MCC,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:20:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5332,16/Jul/2020 13:31,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,220,,10,10,None,COM,,,,,,,WPD-28851,6224009,,Dry,07/16/2020 11:20,07/16/2020 11:20,Yes,104 (MPN/100 mL),TMDL Target (2012) SSM,
BCE_MCC,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:20:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5330,16/Jul/2020 08:24,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,>240000,>,100,100,None,COM,,,,,,,WPD-28851,6224009,,Dry,07/16/2020 11:20,07/16/2020 11:20,Yes,10000 (MPN/100 mL),TMDL Target (2012) SSM,
BCE_PAC,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:40:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5331,16/Jul/2020 08:24,Sample Water,SM9223B,E. coli,,MPN/100 mL,,<100,ND,100,100,None,COM,,,,,,,WPD-28852,6224010,,Dry,07/16/2020 11:40,07/16/2020 11:40,,,,
BCE_PAC,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:40:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5354,16/Jul/2020 13:31,Sample Water,SM9230D,Enterococcus,,MPN/100 mL,,<10,ND,10,10,None,COM,,,,,,,WPD-28852,6224010,,Dry,07/16/2020 11:40,07/16/2020 11:40,,,,
BCE_PAC,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:40:00,Water_Grab,Grab,1,Fishing Pole with Bottle,,,,,5354,16/Jul/2020 08:24,Sample Water,SM9223B,Total coliform,,MPN/100 mL,,2900,,100,100,None,COM,,,,,,,WPD-28852,6224010,,Dry,07/16/2020 11:40,07/16/2020 11:40,Yes,1000 (MPN/100 mL),TMDL Target (2012) Geomean,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:55:00,Water_Grab,Field Blank,1,None,,,,,4548,23/Jul/2020 09:51,Blank Water,EPA 200.8,Copper,,ug/L,,0.19DNQ,DNQ,0.1,0.5,NONE,COM,1,,,,,,WPD-28857,6224002,,Dry,07/16/2020 10:55,07/16/2020 10:55,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:55:00,Water_Grab,Field Blank,1,None,,,,,4548,23/Jul/2020 09:46,Blank Water,EPA 200.8,Copper (Dissolved),,ug/L,,0.14DNQ,DNQ,0.1,0.5,NONE,COM,1,,,,,,WPD-28857,6224002,,Dry,07/16/2020 10:55,07/16/2020 10:55,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:50:00,Water_Grab,Field Blank,1,None,,,,,5355,16/Jul/2020 08:24,Blank Water,SM9223B,E. coli,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28854,6224012,,Dry,07/16/2020 11:50,07/16/2020 11:50,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:50:00,Water_Grab,Field Blank,1,None,,,,,5353,16/Jul/2020 13:31,Blank Water,SM9230D,Enterococcus,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28854,6224012,,Dry,07/16/2020 11:50,07/16/2020 11:50,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:55:00,Water_Grab,Field Blank,1,None,,,,,4558,25/Jul/2020 13:14,Blank Water,SM 2340B,Hardness,,mg/L,,0.292,,,,NONE,COM,1,,,,,,WPD-28857,6224002,,Dry,07/16/2020 10:55,07/16/2020 10:55,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:55:00,Water_Grab,Field Blank,1,None,,,,,4548,23/Jul/2020 09:51,Blank Water,EPA 200.8,Lead,,ug/L,,<0.06,ND,0.06,0.5,NONE,COM,1,,,,,,WPD-28857,6224002,,Dry,07/16/2020 10:55,07/16/2020 10:55,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:55:00,Water_Grab,Field Blank,1,None,,,,,4548,23/Jul/2020 09:46,Blank Water,EPA 200.8,Lead (Dissolved),,ug/L,,0.10DNQ,DNQ,0.06,0.5,NONE,COM,1,,,,,,WPD-28857,6224002,,Dry,07/16/2020 10:55,07/16/2020 10:55,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,11:50:00,Water_Grab,Field Blank,1,None,,,,,5353,16/Jul/2020 08:24,Blank Water,SM9223B,Total coliform,,MPN/100 mL,,<1,ND,1,1,None,COM,,,,,,,WPD-28854,6224012,,Dry,07/16/2020 11:50,07/16/2020 11:50,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:55:00,Water_Grab,Field Blank,1,None,,,,,24308,18/Jul/2020 08:12,Blank Water,SM 2540D,Total Suspended Solids,,mg/L,,3,,1.4,2,NONE,COM,1,,,,,,WPD-28857,6224002,,Dry,07/16/2020 10:55,07/16/2020 10:55,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:55:00,Water_Grab,Field Blank,1,None,,,,,4548,23/Jul/2020 09:51,Blank Water,EPA 200.8,Zinc,,ug/L,,2.42,,0.58,1,NONE,COM,1,,,,,,WPD-28857,6224002,,Dry,07/16/2020 10:55,07/16/2020 10:55,,,,
BC-RW-FBLANK,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:55:00,Water_Grab,Field Blank,1,None,,,,,4548,23/Jul/2020 09:46,Blank Water,EPA 200.8,Zinc (Dissolved),,ug/L,,1.97,,0.58,1,NONE,COM,1,,,,,,WPD-28857,6224002,,Dry,07/16/2020 10:55,07/16/2020 10:55,,,,
BC-RW-FDUP,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:50:00,Water_Grab,Field Duplicate,2,None,,,,,4548,23/Jul/2020 09:59,Sample Water,EPA 200.8,Copper,,ug/L,,11.3,,0.1,0.5,NONE,COM,1,,,,,,WPD-28858,6224003,,Dry,07/16/2020 10:50,07/16/2020 10:50,,,,
BC-RW-FDUP,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:50:00,Water_Grab,Field Duplicate,2,None,,,,,4548,23/Jul/2020 09:55,Sample Water,EPA 200.8,Copper (Dissolved),,ug/L,,7.74,,0.1,0.5,NONE,COM,1,,,,,,WPD-28858,6224003,,Dry,07/16/2020 10:50,07/16/2020 10:50,,,,
BC-RW-FDUP,16-Jul-20,BC CIMP (RW) - Bacteria TMDL,WQ,,,,,,09:45:00,Water_Grab,Field Duplicate,2,Fishing Pole with Bottle,,,,,5355,20/Jul/2020 08:34,Sample Water,SM9223B,E. coli,,MPN/100 mL,,410,,100,100,None,COM,,,,,,,WPD-28855,6224013,,Dry,07/16/2020 09:45,07/16/2020 09:45,,,,
BC-RW-FDUP,16-Jul-20,BC CIMP (RW),WQ,,,,,,10:50:00,Water_Grab,Field Duplicate,2,None,,,,,4558,25/Jul/2020 13:14,Sample Water,SM 2340B,Hardness,,mg/L,,531,,,,NONE,COM,1,,,,,,WPD-28858,6224003,,Dry,07/16/2020 10:50,07/16/2020 10:50,,,,
